Athlete,Year,Team,Time,Wind,Year_next_year,Next Year Time,Predicted
"Larkins, Micah",JR-3,Northwestern St.,10.02,3.6,SR-4,10.1,10.1
"Ewers, Andre",JR-3,Florida State,10.04,3.6,SR-4,10.06,10.06
"Gillespie, Cravon",JR-3,Oregon,10.05,2.9,SR-4,9.97,9.97
"Jefferson, Chris",JR-3,Sam Houston St.,10.08,3.6,SR-4,10.2,10.2
"Oduduru, Divine",SO-2,Texas Tech,10.1,1.4,JR-3,9.94,9.94
"Williams, Waseem",SO-2,Purdue,10.1,1.2,JR-3,10.2,10.2
"Quinn, Devin",JR-3,Illinois,10.11,3.4,SR-4,10.06,10.06
"Walter, Keitavious",JR-3,Alabama,10.12,0.9,SR-4,10.11,10.11
"Williams, Mustaqeem",JR-3,Tennessee,10.12,1.1,SR-4,10.08,10.08
"Willis, Maxwell",SO-2,Baylor,10.12,1.3,JR-3,10.21,10.21
"Burke, Mario",JR-3,Houston,10.13,-0.2,SR-4,9.95,9.95
"Lewis III, John",JR-3,Houston,10.13,3.5,SR-4,10.53,10.53
"Kemp, Demek",JR-3,South Carolina St.,10.15,2.9,SR-4,10.03,10.03
"Clark, Ryan",JR-3,Florida,10.16,2.1,SR-4,10.3,10.3
"Amoah, Joseph",SO-2,Coppin State,10.2,1.1,JR-3,10.09,10.09
"West, McKinely",JR-3,Southern Miss.,10.2,0.1,SR-4,10.13,10.13
"Tait, Emmanuel",SO-2,Samford,10.2,2.7,JR-3,10.6,10.6
"Charleston, Cravont",SO-2,North Carolina St.,10.21,-0.3,JR-3,10.17,10.17
"Thomas, Justin",JR-3,Jackson State,10.21,2.4,SR-4,10.39,10.39
"Rowe, Rodney",JR-3,N. Carolina A&T,10.22,1.9,SR-4,10.05,10.05
"Hudson, Andrew",JR-3,Texas Tech,10.26,0.8,SR-4,10.13,10.13
"Harrison, Eric",FR-1,Ohio State,10.28,-0.5,SO-2,10.26,10.26
"Virgil, Jalen",FR-1,Appalachian State,10.29,3.4,SO-2,10.3,10.3
"Barnum, Alexander",SO-2,USC,10.29,0.4,JR-3,10.42,10.42
"Walker, Jullane",SO-2,Kansas State,10.3,0.7,JR-3,10.35,10.35
"McConico, Kwantreyl",JR-3,Tennessee,10.3,1.2,SR-4,10.56,10.56
"Johnson, Josiah",JR-3,Citadel,10.3,2.9,SR-4,10.32,10.32
"Flournoy, Jaron",JR-3,LSU,10.32,1.9,SR-4,10.12,10.12
"DeMoss, Davon",JR-3,Memphis,10.32,0.2,SR-4,10.05,10.05
"Haraway, Darryl",JR-3,Florida State,10.32,1.1,SR-4,10.43,10.43
"Smith, Tyler",JR-3,McNeese State,10.32,3.2,SR-4,10.27,10.27
"Haynes, Deontre",JR-3,UT-Arlington,10.33,3.3,SR-4,10.29,10.29
"Comick, Jace",SO-2,Texas A&M,10.33,1.1,JR-3,10.22,10.22
"Sheffield, Joseph",FR-1,Oklahoma,10.33,1.3,SO-2,10.24,10.24
"Elam, Alex",JR-3,South Alabama,10.33,2.7,SR-4,10.75,10.75
"Cole, Clinton",JR-3,Incarnate Word,10.34,3.0,SR-4,10.35,10.35
"Mosby, Correion",JR-3,LSU,10.34,1.5,SR-4,10.43,10.43
"Woodard, Antonio",SO-2,Iowa,10.34,2.6,JR-3,10.4,10.4
"Ford, Alize",SO-2,Alabama,10.35,2.4,JR-3,10.3,10.325
"Kowalchuk, Karson",SO-2,Miss State,10.35,2.4,JR-3,10.35,10.325
"Turner, Roman",FR-1,Texas Southern,10.35,1.5,SO-2,10.41,10.41
"Matiyenga, Tinotenda",FR-1,TCU,10.38,0.7,SO-2,10.32,10.32
"Spike, Norris",JR-3,Alabama State,10.38,2.8,SR-4,10.35,10.35
"McBride, Isaiah",JR-3,UT-Arlington,10.39,3.3,SR-4,10.34,10.34
"Richard, Tyrell",JR-3,South Carolina St.,10.39,2.9,SR-4,10.44,10.44
"Alexander, Nicholas",FR-1,Houston,10.39,2.3,SO-2,10.21,10.305
"Patterson, Shannon",JR-3,North Carolina St.,10.39,2.1,SR-4,10.6,10.6
"Harry, Kie'Ave",SO-2,Northwestern St.,10.4,3.2,JR-3,10.31,10.31
"Denmark, Kahlim",SR-4,Coastal Carolina,10.4,3.6,SR-4,10.5,10.5
"Hislop, Akanni",SO-2,LSU,10.4,1.5,JR-3,10.19,10.19
"Carr, Tre'Darius",FR-1,Northwestern St.,10.4,1.7,SO-2,10.38,10.38
"Harris, Kent",JR-3,Long Beach St.,10.4,3.7,JR-3,10.59,10.59
"Singleton, Darrell",SO-2,South Carolina,10.41,2.9,JR-3,10.23,10.23
"Navarro, Gabe",FR-1,Stanford,10.41,2.9,SO-2,10.44,10.44
"Charles, Ja'Maun",JR-3,Washington St.,10.41,3.8,JR-3,10.61,10.61
"Morton, Naukym",SO-2,Northeastern,10.41,0.7,JR-3,10.8,10.8
"Hewing, Jordan",FR-1,Kennesaw State,10.42,0.8,SO-2,10.5,10.5
"Webb, Jackson",SO-2,Oklahoma,10.42,0.7,JR-3,10.41,10.41
"Shannon, Jason",FR-1,Illinois,10.42,3.4,SO-2,10.5,10.5
"Gray, Nick",JR-3,Ohio State,10.43,1.6,SR-4,10.15,10.15
"Clarke, Daniel",FR-1,South Dakota St.,10.43,3.6,SO-2,10.63,10.63
"Porter, Thaddeus",FR-1,South Alabama,10.43,2.1,SO-2,10.83,10.675
"Felix, Chris",SO-2,Jackson State,10.44,2.8,SR-4,10.5,10.5
"Maguranyanga, Kundai",FR-1,Drake,10.44,2.1,SO-2,10.48,10.42
"Vaughn, Andre",JR-3,Army West Point,10.44,3.7,SR-4,10.51,10.51
"Johnson, Jabari",SO-2,Appalachian State,10.44,2.5,JR-3,10.52,10.52
"Morgan, Marvin",FR-1,Penn,10.44,2.1,SO-2,10.36,10.42
"House, Rasaun",FR-1,Cal St. Fullerton,10.44,3.5,SO-2,10.53,10.53
"Daniel, Rieker",FR-1,Oregon,10.45,3.8,SO-2,10.39,10.39
"Schmidt, Spenser",JR-3,Oregon,10.45,0.7,SR-4,10.32,10.32
"Lane, Brandan",JR-3,Eastern Illinois,10.46,2.3,SR-4,10.68,10.68
"Sagesse, Chedlin",JR-3,Southern Miss.,10.46,0.1,SR-4,10.55,10.55
"Brown, Keith",FR-1,Norfolk State,10.46,2.0,SO-2,10.39,10.39
"East, David",FR-1,Alabama State,10.46,2.4,SO-2,10.47,10.47
"Lexo, Evan",SO-2,Navy,10.46,3.9,JR-3,10.42,10.42
"Jewell, Zachary",SO-2,Central Arkansas,10.46,2.5,JR-3,10.64,10.64
"Sorensen, Derek",JR-3,BYU,10.46,0.8,JR-3,10.53,10.53
"Smith, Dontavian",FR-1,North Carolina,10.47,1.5,SO-2,10.69,10.69
"Brown, Washington",FR-1,Texas,10.47,0.8,SO-2,10.33,10.33
"Kimble, Justin",SO-2,Mount St. Mary's,10.48,1.3,JR-3,10.4,10.4
"Ejiakuekwu, Roy",JR-3,Arkansas,10.48,1.7,SR-4,10.37,10.37
"Winfrey, Khalil",SO-2,Washington,10.49,3.8,JR-3,10.4,10.4
"Dodge, Jack",FR-1,Central Michigan,10.5,2.2,SO-2,10.8,10.8
"Garrett, Brenan",JR-3,Hampton,10.5,3.0,JR-3,10.79,10.79
"Vaughns, Vincent",SO-2,Yale,10.5,3.2,JR-3,10.61,10.61
"PORTER, Darien",FR-1,North Texas,10.5,2.6,SO-2,10.38,10.38
"Watson, Aaron",JR-3,Navy,10.51,3.7,SR-4,10.5,10.5
"Cunningham, Isaiah",FR-1,Baylor,10.51,0.1,SO-2,10.42,10.42
"Hilton, Coby",FR-1,South Dakota St.,10.51,2.2,SO-2,10.39,10.45
"Chier, Aaron",JR-3,Drake,10.51,3.0,SR-4,10.68,10.68
"Reagan, Joe",JR-3,South Dakota,10.51,2.2,SR-4,10.84,10.84
"Delince, Karon",FR-1,East Tenn. St.,10.51,2.9,SO-2,10.66,10.66
"Hayes, Austin",JR-3,Western Kentucky,10.51,1.8,SR-4,10.57,10.57
"Bass, Christian",SO-2,Charlotte,10.52,2.2,JR-3,10.54,10.54
"Hari, Kristoffer",FR-1,Arkansas,10.52,0.5,SO-2,10.26,10.26
"Shellmire, Julius",JR-3,Oregon,10.52,3.8,SR-4,10.43,10.43
"Brown, Xavier",SO-2,Oklahoma,10.52,2.4,JR-3,10.64,10.64
"Cumberbatch, Jebarri",JR-3,SE Louisiana,10.52,1.6,SR-4,10.55,10.55
"Petty, Lamarco",FR-1,Mid. Tenn. State,10.52,1.8,SO-2,10.63,10.63
"Bush, William",JR-3,Western Kentucky,10.52,2.6,SR-4,10.46,10.46
"Dzvokora, Tatenda",JR-3,North Dakota State,10.52,3.6,SR-4,10.87,10.87
"Simpson, Maurice",JR-3,Georgia Tech,10.52,2.9,SR-4,10.46,10.46
"Kirby, Bryce",JR-3,Boise State,10.53,3.0,SR-4,10.36,10.309999999999999
"Bell, Jailen",SO-2,Jackson State,10.53,1.5,JR-3,10.33,10.33
"Persiado, Imri",SO-2,Memphis,10.54,0.7,SO-2,10.45,10.45
"Rogers, Calvary",JR-3,Penn,10.54,0.4,SR-4,10.55,10.516666666666667
"Menchaca, Zach",JR-3,Cornell,10.54,0.4,SR-4,10.56,10.516666666666667
"Outlaw, Napoleon",FR-1,Oakland,10.54,1.5,SO-2,10.75,10.75
"McClinton, Donald",FR-1,Louisville,10.54,1.4,SO-2,10.56,10.56
"Sims, Ben",JR-3,Army West Point,10.55,3.9,SR-4,10.98,10.98
"Hunter, Jeremiah",SO-2,Miami (Ohio),10.55,2.2,JR-3,10.38,10.38
"Dauphine, Corey",JR-3,Tulane,10.55,0.2,SR-4,10.71,10.71
"Zallow, Chad",JR-3,Youngstown St.,10.55,1.2,SR-4,10.56,10.56
"Spears, Tyson",SO-2,Georgia Tech,10.55,3.5,JR-3,10.62,10.62
"Maloka , Lebogang",SO-2,TCU,10.56,0.8,JR-3,10.71,10.71
"Pringle, Devin",SO-2,Coastal Carolina,10.56,2.4,JR-3,10.56,10.56
"Leuthner, Andrew",JR-3,Incarnate Word,10.56,3.0,SR-4,10.45,10.45
"Davenport, Michael",SO-2,Virginia Tech,10.56,2.1,JR-3,10.68,10.68
"Kammler, Fabio",JR-3,UC Davis,10.57,3.7,JR-3,10.82,10.82
"Bailey, Henrick",SR-4,Bethune-Cookman,10.57,-0.1,SR-4,10.94,10.94
"Mhonde, Tadiwanashe",FR-1,Eastern Illinois,10.57,2.3,SO-2,10.69,10.69
"Seawright, Daniel",FR-1,South Carolina St.,10.57,1.2,SO-2,10.47,10.47
"Paramore, Joshua",JR-3,Charleston Southern,10.58,0.9,SR-4,10.46,10.46
"Griffin, Denvoir",SO-2,Wichita State,10.58,3.6,JR-3,10.73,10.73
"Burnett, Nigel",JR-3,UC Davis,10.58,1.8,SR-4,10.58,10.58
"Smith, Akiel",SO-2,Central Connecticut,10.58,1.6,JR-3,10.5,10.5
"Andrews, Keshawn",FR-1,Arkansas-Little Rock,10.58,3.4,SO-2,10.32,10.32
"Braxton, Ian",SO-2,Baylor,10.58,1.3,JR-3,10.56,10.56
"Gay, Darryl",FR-1,Florida State,10.58,0.9,SO-2,10.32,10.32
"Henderson, Bryan",SO-2,Sam Houston St.,10.58,3.2,JR-3,10.37,10.37
"Davis, Keith",JR-3,South Alabama,10.59,2.3,JR-3,10.63,10.615
"Egbo, David",JR-3,Arizona,10.59,0.7,SR-4,10.7,10.7
"Foster, Emanuel",SO-2,Ole Miss,10.59,3.3,JR-3,10.7,10.7
"Carr, Curtis",SO-2,Campbell,10.59,0.9,JR-3,10.49,10.49
"Mason, Grant",FR-1,Lipscomb,10.59,0.8,SO-2,10.54,10.54
"Zenner, Sam",SO-2,South Dakota St.,10.6,3.0,JR-3,10.51,10.51
"Chambers, Mykel",JR-3,Cincinnati,10.6,0.2,SR-4,10.64,10.64
"Bishop, Quinest",FR-1,Troy,10.6,3.6,SO-2,10.45,10.45
"Roberts, Issac",JR-3,N.C. Central,10.6,1.5,SR-4,10.64,10.64
"Lang, Shandon",JR-3,New Orleans,10.6,1.7,JR-3,10.84,10.84
"Hodges, Keshaun",SR-4,Coppin State,10.61,2.0,SR-4,10.65,10.65
"Nelson, Adam",SO-2,DePaul,10.61,1.6,JR-3,10.69,10.69
"Patterson, Darius",JR-3,Western Illinois,10.61,2.2,SR-4,10.81,10.81
"Elliott, Isaac",FR-1,Duquesne,10.61,1.9,SO-2,10.62,10.62
"Texada, Raleigh",FR-1,Baylor,10.62,0.7,SO-2,10.61,10.61
"Beck, Alex",JR-3,Cornell,10.62,2.9,SR-4,10.8,10.8
"McKenzie, Ricordo",SO-2,Chicago State,10.62,2.3,JR-3,10.5,10.55
"Harris, Brandon",JR-3,Kent State,10.62,3.0,SR-4,10.61,10.61
"Slaton, Kewan",SO-2,Tennessee-Martin,10.62,3.1,JR-3,11.15,11.15
"Austin, Calvin",FR-1,Memphis,10.63,0.2,SO-2,10.54,10.54
"Penington, Conor",FR-1,South Dakota,10.63,3.6,SO-2,10.84,10.84
"Marx, Jace",JR-3,Wyoming,10.63,3.0,SR-4,10.82,10.82
"Nelson, Zach",FR-1,Minnesota,10.63,-0.5,SO-2,10.5,10.5
"Daniels, Le'Gari",FR-1,Abilene Christian,10.63,1.9,SO-2,10.84,10.84
"Green, Randy",FR-1,Bethune-Cookman,10.64,1.1,SO-2,10.71,10.71
"Santana, Kemuel",FR-1,Washington,10.64,2.2,SO-2,10.51,10.51
"Nicholas, Desmond",SO-2,Michigan,10.64,0.4,JR-3,10.63,10.63
