Athlete,Year,Team,Time,Wind,Year_next_year,Next Year Time,Predicted
"Washington-Saunders, Chace",SO-2,Western Carolina,10.81,1.9,JR-3,11.05,11.05
"Uzzell, Jeffrey",FR-1,Tennessee,10.81,1.7,SO-2,10.6,10.6
"Strong, Michael",SO-2,New Orleans,10.81,3.0,JR-3,10.9,10.9
"Allison, Chineme",SO-2,Cal Poly,10.81,1.3,JR-3,10.77,10.77
"Carter, Joseph",JR-3,Rhode Island,10.82,2.0,SR-4,10.8,10.8
"Moothery, C. Jordan",JR-3,Indiana State,10.82,-0.3,SR-4,10.82,10.82
"Hicks, Eli",SO-2,Northern Iowa,10.82,3.2,JR-3,10.75,10.75
"Doss, Jonathan",FR-1,Liberty,10.82,3.2,SO-2,10.85,10.85
"Henderson, Traezon",SO-2,UMKC,10.82,1.1,JR-3,10.64,10.64
"Cochran, Callan",JR-3,UC Santa Barbara,10.83,0.7,SR-4,10.62,10.62
"Buckles, Ethan",FR-1,North Dakota,10.83,2.1,SO-2,10.79,10.79
"Adams, Tyler",JR-3,Sam Houston St.,10.83,2.0,SR-4,11.05,11.05
"Bunting, Jayden",FR-1,UTSA,10.83,3.8,SO-2,10.73,10.73
"Clark, Richard",JR-3,Butler,10.83,2.2,SR-4,10.77,10.77
"Sims, Terry",SO-2,Incarnate Word,10.83,1.4,JR-3,10.78,10.78
"Fullerton, Kevin",FR-1,Iona,10.83,2.9,SO-2,10.85,10.85
"Davis, Diab",SO-2,California,10.83,1.6,JR-3,10.52,10.52
"Olie, Emmanuel",FR-1,Arkansas-Little Rock,10.83,3.3,SO-2,10.87,10.87
"Price, Arthur",SR-4,LSU,10.83,0.9,SR-4,10.59,10.59
"Littles, Ray",JR-3,Washington St.,10.84,1.0,SR-4,10.7,10.7
"Turner, Jordan",FR-1,George Mason,10.84,3.6,SO-2,10.71,10.71
"Trahan, Emile",SO-2,UL-Monroe,10.84,1.7,JR-3,11.02,11.02
"Graves, Demetrius",JR-3,Northern Colorado,10.84,2.5,SR-4,10.9,10.9
"Hugle, Keyon",FR-1,Mid. Tenn. State,10.84,2.2,SO-2,10.7,10.7
"Rosembert, Edwin",FR-1,Delaware State,10.84,2.4,JR-3,10.97,10.97
"Hibbert, Ben",SO-2,Cal St. Northridge,10.84,1.6,SR-4,10.84,10.84
"James, Tristan",JR-3,Oregon,10.84,0.3,SR-4,10.74,10.74
"Titgen, Justin",JR-3,Navy,10.84,2.6,SR-4,10.93,10.93
"Collis , Xavier",JR-3,Fairleigh Dickinson,10.84,1.7,SR-4,10.93,10.93
"Johnson, Kenneth",FR-1,UL-Monroe,10.84,0.7,SO-2,10.99,10.99
"Mingo-Long, Qays",FR-1,Arizona,10.84,-0.8,SO-2,10.72,10.72
"Seay, Jared",JR-3,Nebraska,10.85,1.0,SR-4,10.84,10.84
"Joseph, Miguerson",FR-1,Monmouth,10.85,2.9,SO-2,10.74,10.74
"Green, Phillip",JR-3,Texas Tech,10.85,1.6,SR-4,11.01,11.01
"Clafton, Beau",JR-3,New Mexico,10.86,1.6,SR-4,11.05,11.05
"Tenkiang, Chiason",SO-2,Auburn,10.86,-0.5,JR-3,10.9,10.9
"Harris, Ryquan",SO-2,Bucknell,10.86,3.7,JR-3,11.01,11.01
"Lombard, Korey",JR-3,Howard,10.86,3.7,SR-4,10.75,10.75
"Volpe, Trevor",FR-1,Arizona,10.86,2.0,SO-2,10.66,10.66
"Hatch, Andy",JR-3,Illinois State,10.86,1.5,SR-4,10.74,10.74
"Harris, Shane",JR-3,Stony Brook,10.86,3.2,SR-4,11.01,11.01
"Macinnis, Josiah",FR-1,Texas Tech,10.86,0.2,SO-2,10.71,10.71
"Sutton, E'Lias",FR-1,Colorado St.,10.87,1.8,SO-2,10.8,10.8
"Williams, Jordan",JR-3,Citadel,10.87,2.4,SR-4,11.04,11.04
"Drake, Sheldon",SO-2,Oakland,10.87,1.2,JR-3,10.77,10.77
"Lorbeck, Zachary",SO-2,Wisconsin,10.87,0.2,JR-3,10.81,10.81
"Thomas, Jordan",JR-3,Tennessee St.,10.87,2.1,SR-4,11.06,11.06
"Torney, Jordan",FR-1,Connecticut,10.88,0.4,SO-2,10.82,10.82
"Carter, Christopher",FR-1,Arkansas State,10.88,0.7,SO-2,10.75,10.75
"Logan, Karlos",SO-2,Grand Canyon,10.88,1.3,SR-4,10.77,10.77
"Walls, Brandon",SO-2,Texas A&M-CC,10.88,-0.9,SR-4,10.87,10.87
"Allen , Julius",SR-4,Delaware State,10.88,1.5,SR-4,10.7,10.7
"Fortin, Seth",JR-3,Weber State,10.88,0.0,SR-4,10.87,10.87
"Sandefur, Richard",SO-2,Wichita State,10.89,3.2,JR-3,10.98,10.98
"Roderick, Anthony",SO-2,Northeastern,10.89,2.0,JR-3,10.97,10.97
"Williams, Paris",SO-2,Kennesaw State,10.9,1.8,JR-3,10.89,10.89
"Pearson, David",FR-1,Winthrop,10.9,2.9,SO-2,11.02,11.02
"Wilkerson, Braylon",JR-3,LIU Brooklyn,10.9,3.1,SR-4,10.89,10.89
"Wilkerson, Jordan",SO-2,Illinois State,10.9,1.5,JR-3,11.05,11.05
"Dyer, Kevin",JR-3,Army West Point,10.9,0.9,SR-4,10.76,10.76
"Strozier, Lasheon",JR-3,N. Carolina A&T,10.9,1.6,SR-4,11.01,11.01
"Raines, Jonathan",JR-3,Georgia,10.9,1.2,SR-4,10.91,10.91
"Woods, Anthony",SO-2,Cincinnati,10.9,-0.4,JR-3,10.54,10.54
"Harriott, Caniggia",SO-2,Morgan State,10.9,3.0,JR-3,11.16,11.16
"Hagins, Joshua",SO-2,Hampton,10.9,0.5,JR-3,10.76,10.76
"Brosseau, Alex",FR-1,North Dakota State,10.91,3.6,SO-2,10.86,10.86
"Clancy, Kyle",JR-3,UC Davis,10.91,2.3,SR-4,11.04,11.045
"Cephas, Michael",SO-2,Rider,10.92,2.9,JR-3,11.08,11.08
"Taylor-Jones, Alonzo",FR-1,Southern Illinois,10.92,1.9,SO-2,10.91,10.91
"Lee, Evan",SO-2,Penn,10.92,1.8,JR-3,10.92,10.85
"Stuart, Andrew",FR-1,BYU,10.92,1.4,SO-2,10.8,10.8
"Morgan, Ryan",SO-2,UC Santa Barbara,10.92,2.8,JR-3,10.86,10.86
"Amponsah, Kwaku",FR-1,New Jersey Institute,10.92,0.6,SO-2,10.84,10.84
"Lawson, TJ",SO-2,Kent State,10.92,1.8,JR-3,10.78,10.85
"Lane, Austin",FR-1,Utah State,10.93,0.0,SO-2,10.79,10.79
"Kuil, Cameron",FR-1,South Dakota St.,10.93,2.2,SO-2,11.09,11.09
"White, Kobe",JR-3,LIU Brooklyn,10.93,1.3,SR-4,10.89,10.89
"Smith, Satchel",FR-1,Lamar,10.93,1.4,SO-2,10.95,10.95
"McClinton, Dominic",FR-1,Louisville,10.93,1.7,SO-2,11.12,11.12
"Treston, Matthew",FR-1,Arizona,10.93,0.9,JR-3,10.92,10.92
"Domier, Will",SO-2,Colorado St.,10.94,-1.7,JR-3,10.56,10.56
"Howard, Chris",FR-1,UC Santa Barbara,10.94,0.7,SO-2,11.01,11.01
"Gray, Hayden",SO-2,UMass Amherst,10.94,0.9,JR-3,10.88,10.88
"Mixon, Chandler",FR-1,UL-Lafayette,10.94,1.2,SO-2,10.93,10.844999999999999
"Edwards, Davante",JR-3,UTSA,10.94,1.8,SR-4,10.96,10.96
"Bland, DaRon",FR-1,Sacramento St.,10.94,1.2,SO-2,10.76,10.844999999999999
"Klimpke, Ben",SO-2,North Dakota State,10.95,0.9,JR-3,10.88,10.88
"Singletary , Evan",SO-2,UC Irvine,10.95,1.3,JR-3,10.71,10.71
"Guerrant, Nick",SO-2,Michigan State,10.95,2.3,JR-3,10.93,10.93
"Young, Alexander",SO-2,Yale,10.95,3.2,JR-3,10.9,10.9
"Member-Meneh, Lezoghia",SO-2,Alabama State,10.95,-1.1,JR-3,11.1,11.1
"Clark, Trey",JR-3,Hampton,10.96,2.6,SR-4,11.05,11.045
"Heitland, Austin",JR-3,Northern Iowa,10.96,1.5,SR-4,10.99,10.99
"Caston, Parker",SO-2,Cal St. Northridge,10.96,1.1,SR-4,11.05,11.05
"Banks, Terrill",FR-1,McNeese State,10.96,2.3,SO-2,10.87,10.87
"Ogobri, Timiebi",FR-1,Citadel,10.98,1.6,SO-2,10.88,10.88
"Ifediora, Obiajulu",FR-1,Brown,10.98,1.5,SO-2,10.75,10.75
"Afflitto, Paul",SO-2,Wisconsin,10.98,0.6,JR-3,11.04,11.04
"Vestuto, Tim",JR-3,Butler,10.98,0.6,SR-4,11.01,11.01
"Littlejohn, Rodney",SO-2,Incarnate Word,10.98,0.2,JR-3,10.8,10.8
"Porterfield, Quintin",FR-1,Eastern Washington,10.99,2.8,SO-2,11.09,11.09
"Ruffin, AJ",JR-3,Maryland,10.99,1.4,SR-4,10.98,10.98
"Bain, Karon",FR-1,Texas Southern,10.99,0.6,SO-2,10.99,10.99
"Thomas, Ryan",SR-4,Georgia Tech,10.99,2.3,SR-4,11.15,11.15
"Erm, Johannes",FR-1,Georgia,10.99,1.0,SO-2,11.03,11.03
"Williams, Ny-Juan",JR-3,UNC-Greensboro,10.99,1.6,SR-4,11.01,11.01
"Smallwood, Marcquis",FR-1,Rider,10.99,2.9,SO-2,10.98,10.98
"Espinoza, Marcel",SO-2,Cal St. Fullerton,10.99,2.2,JR-3,10.7,10.7
